State,Constituency_Name,2019_Candidate,2019_Party,2019_Votes_Margin,2014_Candidate,2014_Party,2014_Votes_Margin,Lat,Long
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Kuldeep Rai Sharma,INC,1407,Bishnu Pada Ray,BJP,7812,11.7401,92.6586
Andhra Pradesh,Amalapuram,CHINTA ANURADHA,YSRCP,39966,Dr Pandula Ravindra Babu,TDP,120576,15.9129,79.74
Andhra Pradesh,Anakapalli,DR.BEESETTI VENKATA SATYAVATHI,YSRCP,89192,Muttamsetti Srinivasa Rao (Avanthi),TDP,47932,15.9129,79.74
Andhra Pradesh,Anantapur,TALARI RANGAIAH,YSRCP,141428,J.C. Divakar Reddi,TDP,61269,15.9129,79.74
Andhra Pradesh,Araku,GODDETI MADHAVI,YSRCP,224089,Kothapalli Geetha,YSRCP,91398,15.9129,79.74
Andhra Pradesh,Bapatla,Nandigam Suresh,YSRCP,16065,Malyadri Sriram,TDP,32754,15.9129,79.74
Andhra Pradesh,Chittoor,N.Reddeppa,YSRCP,137271,Naramalli Sivaprasad,TDP,44138,15.9129,79.74
Andhra Pradesh,Eluru,Kotagiri Sridhar,YSRCP,165925,Maganti Venkateswara Rao (Babu),TDP,101926,15.9129,79.74
Andhra Pradesh,Guntur,JAYADEV GALLA,TDP,4205,Jayadev Galla,TDP,69111,15.9129,79.74
Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,YSRCP,140748,Kristappa Nimmala,TDP,97325,15.9129,79.74
Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,YSRCP,380976,Y.S. Avinash Reddy,YSRCP,190323,15.9129,79.74
Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,YSRCP,25738,Thota Narasimham,TDP,3431,15.9129,79.74
Andhra Pradesh,Kurnool,Ayushman Doctor Sanjeev Kumar,YSRCP,148889,Butta Renuka,YSRCP,44131,15.9129,79.74
Andhra Pradesh,Machilipatnam,BALASHOWRY VALLABHANENI,YSRCP,60141,Konakalla Narayana Rao,TDP,81057,15.9129,79.74
Andhra Pradesh,Nandyal,POCHA BRAHMANANDA REDDY,YSRCP,250119,S.P.Y Reddy,YSRCP,105766,15.9129,79.74
Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,YSRCP,153978,Sambasiva Rao Rayapati,TDP,35280,15.9129,79.74
Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,YSRCP,31909,Gokaraju Ganga Raju,BJP,85351,15.9129,79.74
Andhra Pradesh,Nellore,Adala Prabhakara Reddy,YSRCP,148571,Mekapati Rajamohan Reddy,YSRCP,13478,15.9129,79.74
Andhra Pradesh,Ongole,MAGUNTA SREENIVASULU REDDY,YSRCP,214851,Y.V.Subba Reddy,YSRCP,15658,15.9129,79.74
Andhra Pradesh,Rajahmundry,MARGANI BHARAT,YSRCP,121634,Murali Mohan Maganti,TDP,167434,15.9129,79.74
Andhra Pradesh,Rajampet,P.V. Midhun Reddy,YSRCP,268284,P.V.Midhun Reddy,YSRCP,174762,15.9129,79.74
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,TDP,6653,Rammohan Naidu Kinjarapu,TDP,127572,15.9129,79.74
Andhra Pradesh,Tirupati,Balli Durga Prasad Rao,YSRCP,228376,Varaprasad Rao Velagapalli,YSRCP,37425,15.9129,79.74
Andhra Pradesh,Vijayawada,KESINENI SRINIVAS,TDP,8726,Kesineni Srinivas,TDP,74862,15.9129,79.74
Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,YSRCP,4414,Kambhampati Hari Babu,BJP,90488,15.9129,79.74
Andhra Pradesh,Vizianagaram,BELLANA CHANDRA SEKHAR,YSRCP,48036,Ashok Gajapathi Raju Pusapati,TDP,106911,15.9129,79.74
Arunachal Pradesh,Arunachal East,Shri Tapir Gao,BJP,69948,Ninong Ering,INC,12478,28.218,94.7278
Arunachal Pradesh,Arunachal West,Shri Kiren Rijiju,BJP,174843,Kiren Rijiju,BJP,41738,28.218,94.7278
Assam,Autonomous District,Shri Horen singh,BJP,239626,Biren Singh Engti,INC,24095,26.244156,92.537842
Assam,Barpeta,Abdul Khaleque,INC,140307,Siraj Uddin Ajmal,AUDF,42341,26.244156,92.537842
Assam,Dhubri,Badruddin Ajmal,AIUDF,226258,Badruddin Ajmal,AUDF,229730,26.244156,92.537842
Assam,Dibrugarh,Shri Rameswar Teli,BJP,364566,Rameswar Teli,BJP,185347,26.244156,92.537842
Assam,Gauhati,Queen Oja,BJP,345606,Bijoya Chakravarty,BJP,315784,26.244156,92.537842
Assam,Jorhat,Topon Kumar Gogoi,BJP,82653,Kamakhya Prasad Tasa,BJP,102420,26.244156,92.537842
Assam,Kaliabor,Gaurav Gogoi,INC,209994,Gourav Gogoi,INC,93874,26.244156,92.537842
Assam,Karimganj,Shri Kripanath Mallah,BJP,38389,Radheshyam Biswas,AUDF,102094,26.244156,92.537842
Assam,Kokrajhar,Naba Kumar Sarania,Independent,37786,Naba Kumar Sarania (Hira),IND,355779,26.244156,92.537842
Assam,Lakhimpur,Pradan Baruah,BJP,350551,Sarbananda Sonowal,BJP,292138,26.244156,92.537842
Assam,Mangaldoi,Shri Dilip Saikia,BJP,138545,Ramen Deka,BJP,22884,26.244156,92.537842
Assam,Silchar,Rajdeep Roy,BJP,81596,Sushmita Dev,INC,35241,26.244156,92.537842
Assam,Tezpur,Pallab Lochan Das,BJP,242841,Ram Prasad Sarmah,BJP,86020,26.244156,92.537842
Bihar,Araria,Pradeep Kumar Singh,BJP,137241,Tasleem Uddin,RJD,146504,25.0961,85.3131
