State,Electors_Male,Electors_Female,Electors_Other,Electors_Total,Voters_Male,Voters_Female,Voters_Other,Voters_Total,Total Percentage,Phase,PollDate
Andaman & Nicobar Islands,168701,149168,9,317878,109333,97530,2,206865,65.08,1,11/04/19
Andhra Pradesh,19462313,19879447,3957,39345717,15555654,15802363,692,31358712,79.7,1,11/04/19
Arunachal Pradesh,394456,403793,0,798249,300548,325860,0,626408,78.47,1,11/04/19
Assam,3865334,3737970,154,7603458,3027275,2924312,11,5951599,78.27,1,11/04/19
Bihar,3691075,3360722,225,7052022,1951374,1817318,12,3768775,53.44,1,11/04/19
Chhattisgarh,662385,715520,41,1377946,444627,465304,12,909943,66.04,1,11/04/19
Jammu & Kashmir,1716933,1600897,53,3317938,1006104,897849,2,1903955,57.38,1,11/04/19
Lakshadweep,27921,27136,0,55057,23305,23470,0,46775,84.96,1,11/04/19
Maharashtra,6670995,6364142,189,13035326,4313719,3903983,27,8217729,63.04,1,11/04/19
Manipur,495583,515022,13,1010618,413528,437418,4,850950,84.2,1,11/04/19
Meghalaya,946248,965124,0,1911372,651693,713646,0,1365339,71.43,1,11/04/19
Mizoram,383603,404169,5,787777,244673,252582,0,497255,63.12,1,11/04/19
Nagaland,607859,598428,0,1206287,507376,494985,0,1002361,83.09,1,11/04/19
Odisha,2972925,3030222,560,6003707,2175729,2256170,57,4431956,73.82,1,11/04/19
Sikkim,220305,212000,1,432306,174276,166416,0,340692,78.81,1,11/04/19
Telangana,14919826,14775949,1504,29697279,9377537,9244374,232,18622143,62.71,1,11/04/19
Tripura,682044,665327,10,1347381,568902,552233,4,1121138,83.21,1,11/04/19
Uttar Pradesh,8327469,6939761,826,15268056,5363540,4395235,42,9758821,63.92,1,11/04/19
Uttarakhand,4053930,3711300,230,7765460,2382292,2392060,37,4774299,61.48,1,11/04/19
West Bengal,1773196,1681051,29,3454276,1467104,1427487,2,2894593,83.8,1,11/04/19
Assam,3554460,3355952,180,6910592,2893418,2717068,5,5610490,81.19,2,18/04/19
Bihar,4511858,4079249,275,8591382,2711194,2694778,7,5405979,62.92,2,18/04/19
Chhattisgarh,2438320,2469110,59,4907489,1857592,1820700,16,3678308,74.95,2,18/04/19
Jammu & Kashmir,1543195,1416163,69,2959440,715142,636138,1,1351281,45.66,2,18/04/19
